model,task,ep,pair,overlap
vanilla,SwingXtimes,760,act∩tail13,0.279296875
vanilla,SwingXtimes,760,act∩tail15,0.16796875
vanilla,SwingXtimes,760,tail13∩tail15,0.244140625
vanilla,SwingXtimes,760,act∩nov,0.1171875
vanilla,SwingXtimes,760,tail15∩nov,0.134765625
vanilla,PatternLock,26,act∩tail13,0.53515625
vanilla,PatternLock,26,act∩tail15,0.453125
vanilla,PatternLock,26,tail13∩tail15,0.583984375
vanilla,PatternLock,26,act∩nov,0.35546875
vanilla,PatternLock,26,tail15∩nov,0.3828125
vanilla,ButtonUnmask,200,act∩tail13,0.3046875
vanilla,ButtonUnmask,200,act∩tail15,0.181640625
vanilla,ButtonUnmask,200,tail13∩tail15,0.404296875
vanilla,ButtonUnmask,200,act∩nov,0.10546875
vanilla,ButtonUnmask,200,tail15∩nov,0.1875
vanilla,VideoPlaceButton,300,act∩tail13,0.052734375
vanilla,VideoPlaceButton,300,act∩tail15,0.02734375
vanilla,VideoPlaceButton,300,tail13∩tail15,0.150390625
vanilla,VideoPlaceButton,300,act∩nov,0.03515625
vanilla,VideoPlaceButton,300,tail15∩nov,0.0234375
vanilla,RouteStick,1112,act∩tail13,0.390625
vanilla,RouteStick,1112,act∩tail15,0.318359375
vanilla,RouteStick,1112,tail13∩tail15,0.529296875
vanilla,RouteStick,1112,act∩nov,0.1953125
vanilla,RouteStick,1112,tail15∩nov,0.271484375
expd_framesamp,SwingXtimes,760,act∩tail13,0.2421875
expd_framesamp,SwingXtimes,760,act∩tail15,0.26171875
expd_framesamp,SwingXtimes,760,tail13∩tail15,0.314453125
expd_framesamp,SwingXtimes,760,act∩nov,0.103515625
expd_framesamp,SwingXtimes,760,tail15∩nov,0.119140625
expd_framesamp,PatternLock,26,act∩tail13,0.515625
expd_framesamp,PatternLock,26,act∩tail15,0.56640625
expd_framesamp,PatternLock,26,tail13∩tail15,0.6953125
expd_framesamp,PatternLock,26,act∩nov,0.296875
expd_framesamp,PatternLock,26,tail15∩nov,0.384765625
expd_framesamp,ButtonUnmask,200,act∩tail13,0.361328125
expd_framesamp,ButtonUnmask,200,act∩tail15,0.314453125
expd_framesamp,ButtonUnmask,200,tail13∩tail15,0.53515625
expd_framesamp,ButtonUnmask,200,act∩nov,0.1328125
expd_framesamp,ButtonUnmask,200,tail15∩nov,0.177734375
expd_framesamp,VideoPlaceButton,300,act∩tail13,0.11328125
expd_framesamp,VideoPlaceButton,300,act∩tail15,0.099609375
expd_framesamp,VideoPlaceButton,300,tail13∩tail15,0.25390625
expd_framesamp,VideoPlaceButton,300,act∩nov,0.044921875
expd_framesamp,VideoPlaceButton,300,tail15∩nov,0.01953125
expd_framesamp,RouteStick,1112,act∩tail13,0.30859375
expd_framesamp,RouteStick,1112,act∩tail15,0.40234375
expd_framesamp,RouteStick,1112,tail13∩tail15,0.583984375
expd_framesamp,RouteStick,1112,act∩nov,0.1953125
expd_framesamp,RouteStick,1112,tail15∩nov,0.29296875
HAMLET,SwingXtimes,760,act∩tail13,0.056640625
HAMLET,SwingXtimes,760,act∩tail15,0.173828125
HAMLET,SwingXtimes,760,tail13∩tail15,0.18359375
HAMLET,SwingXtimes,760,act∩nov,0.0625
HAMLET,SwingXtimes,760,tail15∩nov,0.1484375
HAMLET,PatternLock,26,act∩tail13,0.3984375
HAMLET,PatternLock,26,act∩tail15,0.41015625
HAMLET,PatternLock,26,tail13∩tail15,0.58984375
HAMLET,PatternLock,26,act∩nov,0.298828125
HAMLET,PatternLock,26,tail15∩nov,0.39453125
HAMLET,ButtonUnmask,200,act∩tail13,0.138671875
HAMLET,ButtonUnmask,200,act∩tail15,0.234375
HAMLET,ButtonUnmask,200,tail13∩tail15,0.408203125
HAMLET,ButtonUnmask,200,act∩nov,0.087890625
HAMLET,ButtonUnmask,200,tail15∩nov,0.20703125
HAMLET,VideoPlaceButton,300,act∩tail13,0.00390625
HAMLET,VideoPlaceButton,300,act∩tail15,0.041015625
HAMLET,VideoPlaceButton,300,tail13∩tail15,0.083984375
HAMLET,VideoPlaceButton,300,act∩nov,0.0234375
HAMLET,VideoPlaceButton,300,tail15∩nov,0.013671875
HAMLET,RouteStick,1112,act∩tail13,0.25390625
HAMLET,RouteStick,1112,act∩tail15,0.26953125
HAMLET,RouteStick,1112,tail13∩tail15,0.447265625
HAMLET,RouteStick,1112,act∩nov,0.16796875
HAMLET,RouteStick,1112,tail15∩nov,0.263671875
