model,task,ep,method,n,steps,span,demo,wrist,ref,exec,dup,paid
vanilla,SwingXtimes,760,nov,512,41,0-376,0.0,0.662109375,0/0,6/6,0.736328125,
vanilla,SwingXtimes,760,act_L13,512,51,16-384,0.0,0.2578125,0/0,6/6,0.87890625,
vanilla,SwingXtimes,760,tail_L13,512,51,16-392,0.0,0.416015625,0/0,6/6,0.892578125,
vanilla,SwingXtimes,760,tail_L15,512,51,24-384,0.0,0.796875,0/0,6/6,0.91796875,
vanilla,SwingXtimes,760,act∪tail_L15,512,51,24-384,0.0,0.59375,0/0,6/6,0.892578125,256/256
vanilla,SwingXtimes,760,nov∪act (deployed),512,51,0-379,0.0,0.486328125,0/0,6/6,0.759765625,256/256
vanilla,SwingXtimes,760,nov∪tail_L15,512,51,0-376,0.0,0.740234375,0/0,6/6,0.76171875,256/256
vanilla,SwingXtimes,760,nov∪act∪tail_L15,512,51,0-376,0.0,0.58984375,0/0,6/6,0.767578125,171/171/170
vanilla,SwingXtimes,760,nov∪act∪tail_L13,512,51,0-376,0.0,0.365234375,0/0,6/6,0.759765625,171/171/170
vanilla,SwingXtimes,760,f0front∪act∪tail_L15,512,51,0-384,0.0,0.517578125,0/0,6/6,0.78515625,80/216/216
vanilla,SwingXtimes,760,f0both∪act∪tail_L15,512,51,0-376,0.0,0.591796875,0/0,6/6,0.68359375,160/176/176
vanilla,PatternLock,26,nov,512,14,0-120,0.515625,0.607421875,2/2,1/1,0.712890625,
vanilla,PatternLock,26,act_L13,512,17,0-123,0.525390625,0.298828125,2/2,1/1,0.87109375,
vanilla,PatternLock,26,tail_L13,512,17,0-128,0.53125,0.4765625,2/2,1/1,0.861328125,
vanilla,PatternLock,26,tail_L15,512,17,8-123,0.525390625,0.654296875,2/2,1/1,0.88671875,
vanilla,PatternLock,26,act∪tail_L15,512,17,8-128,0.5078125,0.556640625,2/2,1/1,0.875,256/256
vanilla,PatternLock,26,nov∪act (deployed),512,17,0-120,0.5703125,0.41796875,2/2,1/1,0.76171875,256/256
vanilla,PatternLock,26,nov∪tail_L15,512,17,0-120,0.5625,0.59765625,2/2,1/1,0.755859375,256/256
vanilla,PatternLock,26,nov∪act∪tail_L15,512,17,0-120,0.556640625,0.54296875,2/2,1/1,0.765625,171/171/170
vanilla,PatternLock,26,nov∪act∪tail_L13,512,17,0-120,0.568359375,0.423828125,2/2,1/1,0.76953125,171/171/170
vanilla,PatternLock,26,f0front∪act∪tail_L15,512,17,0-128,0.5859375,0.51171875,2/2,1/1,0.7734375,81/216/215
vanilla,PatternLock,26,f0both∪act∪tail_L15,512,17,0-120,0.6484375,0.599609375,2/2,1/1,0.68359375,154/179/179
vanilla,ButtonUnmask,200,nov,512,34,0-264,0.0,0.783203125,2/2,7/7,0.7109375,
vanilla,ButtonUnmask,200,act_L13,512,37,16-272,0.0,0.22265625,2/2,7/7,0.908203125,
vanilla,ButtonUnmask,200,tail_L13,512,37,16-280,0.0,0.529296875,2/2,7/7,0.888671875,
vanilla,ButtonUnmask,200,tail_L15,512,37,8-275,0.0,0.6796875,2/2,7/7,0.9140625,
vanilla,ButtonUnmask,200,act∪tail_L15,512,37,8-280,0.0,0.501953125,2/2,7/7,0.916015625,256/256
vanilla,ButtonUnmask,200,nov∪act (deployed),512,37,0-267,0.0,0.466796875,2/2,7/7,0.74609375,256/256
vanilla,ButtonUnmask,200,nov∪tail_L15,512,37,0-272,0.0,0.7109375,2/2,7/7,0.7421875,256/256
vanilla,ButtonUnmask,200,nov∪act∪tail_L15,512,37,0-264,0.0,0.537109375,2/2,7/7,0.751953125,171/171/170
vanilla,ButtonUnmask,200,nov∪act∪tail_L13,512,37,0-272,0.0,0.3828125,2/2,7/7,0.755859375,171/171/170
vanilla,ButtonUnmask,200,f0front∪act∪tail_L15,512,37,0-272,0.0,0.4375,2/2,7/7,0.796875,79/217/216
vanilla,ButtonUnmask,200,f0both∪act∪tail_L15,512,37,0-264,0.0,0.52734375,2/2,7/7,0.68359375,157/178/177
vanilla,VideoPlaceButton,300,nov,512,80,0-984,0.79296875,0.7578125,16/16,7/7,0.708984375,
vanilla,VideoPlaceButton,300,act_L13,512,131,36-992,0.736328125,0.1875,16/16,7/7,0.912109375,
