model,task,ep,method,n,steps,span,demo_share,ref,exec,dup
vanilla,SwingXtimes,757,td_diff,512,40,0-384,0.0,0/0,6/6,0.7265625
vanilla,SwingXtimes,757,attn_L5,512,51,16-387,0.0,0/0,6/6,0.90234375
vanilla,SwingXtimes,757,attn_L10,512,51,16-376,0.0,0/0,6/6,0.859375
vanilla,SwingXtimes,757,attn_L13,512,51,16-384,0.0,0/0,6/6,0.876953125
vanilla,SwingXtimes,757,split_diff+L13,491,51,0-384,0.0,0/0,6/6,0.7352342158859471
vanilla,SwingXtimes,757,sum_diff+L13,512,51,32-384,0.0,0/0,6/6,0.8359375
vanilla,SwingXtimes,760,td_diff,512,41,0-376,0.0,0/0,6/6,0.736328125
vanilla,SwingXtimes,760,attn_L5,512,51,16-387,0.0,0/0,6/6,0.91015625
vanilla,SwingXtimes,760,attn_L10,512,51,16-379,0.0,0/0,6/6,0.857421875
vanilla,SwingXtimes,760,attn_L13,512,51,16-384,0.0,0/0,6/6,0.884765625
vanilla,SwingXtimes,760,split_diff+L13,494,51,0-376,0.0,0/0,6/6,0.7510121457489879
vanilla,SwingXtimes,760,sum_diff+L13,512,51,40-376,0.0,0/0,6/6,0.859375
vanilla,SwingXtimes,767,td_diff,512,51,0-536,0.0,0/0,6/6,0.705078125
vanilla,SwingXtimes,767,attn_L5,512,72,24-544,0.0,0/0,6/6,0.91796875
vanilla,SwingXtimes,767,attn_L10,512,72,32-539,0.0,0/0,6/6,0.876953125
vanilla,SwingXtimes,767,attn_L13,512,72,24-552,0.0,0/0,6/6,0.876953125
vanilla,SwingXtimes,767,split_diff+L13,498,72,0-528,0.0,0/0,6/6,0.7309236947791165
vanilla,SwingXtimes,767,sum_diff+L13,512,71,56-536,0.0,0/0,6/6,0.82421875
vanilla,PatternLock,26,td_diff,512,14,0-120,0.515625,2/2,1/1,0.712890625
vanilla,PatternLock,26,attn_L5,512,17,0-120,0.5234375,2/2,1/1,0.875
vanilla,PatternLock,26,attn_L10,512,17,4-128,0.546875,2/2,1/1,0.845703125
vanilla,PatternLock,26,attn_L13,512,17,0-120,0.52734375,2/2,1/1,0.869140625
vanilla,PatternLock,26,split_diff+L13,455,17,0-120,0.567032967032967,2/2,1/1,0.7362637362637363
vanilla,PatternLock,26,sum_diff+L13,512,17,8-123,0.484375,2/2,1/1,0.849609375
vanilla,PatternLock,30,td_diff,512,23,0-192,0.57421875,3/3,2/2,0.7109375
vanilla,PatternLock,30,attn_L5,512,26,8-192,0.498046875,3/3,2/2,0.91015625
vanilla,PatternLock,30,attn_L10,512,26,8-192,0.513671875,3/3,2/2,0.8515625
vanilla,PatternLock,30,attn_L13,512,26,8-192,0.49609375,3/3,2/2,0.8828125
vanilla,PatternLock,30,split_diff+L13,493,26,0-192,0.5821501014198783,3/3,2/2,0.7160243407707911
vanilla,PatternLock,30,sum_diff+L13,512,26,16-192,0.501953125,3/3,2/2,0.833984375
vanilla,ButtonUnmask,200,td_diff,512,34,0-264,0.0,2/2,7/7,0.7109375
vanilla,ButtonUnmask,200,attn_L5,512,37,16-272,0.0,2/2,7/7,0.896484375
vanilla,ButtonUnmask,200,attn_L10,512,37,16-272,0.0,2/2,7/7,0.87109375
vanilla,ButtonUnmask,200,attn_L13,512,37,8-275,0.0,2/2,7/7,0.8984375
vanilla,ButtonUnmask,200,split_diff+L13,493,37,0-272,0.0,2/2,7/7,0.7363083164300203
vanilla,ButtonUnmask,200,sum_diff+L13,512,37,28-272,0.0,2/2,7/7,0.857421875
vanilla,ButtonUnmask,201,td_diff,512,35,0-264,0.0,2/2,7/7,0.7265625
vanilla,ButtonUnmask,201,attn_L5,512,37,16-280,0.0,2/2,7/7,0.908203125
vanilla,ButtonUnmask,201,attn_L10,512,37,8-267,0.0,2/2,7/7,0.869140625
vanilla,ButtonUnmask,201,attn_L13,512,37,8-280,0.0,2/2,7/7,0.892578125
vanilla,ButtonUnmask,201,split_diff+L13,496,37,0-264,0.0,2/2,7/7,0.7560483870967742
vanilla,ButtonUnmask,201,sum_diff+L13,512,37,32-275,0.0,2/2,7/7,0.857421875
vanilla,VideoPlaceButton,300,td_diff,512,80,0-984,0.79296875,16/16,7/7,0.708984375
vanilla,VideoPlaceButton,300,attn_L5,512,131,80-984,0.71875,16/16,7/7,0.923828125
vanilla,VideoPlaceButton,300,attn_L10,512,126,64-976,0.671875,16/16,7/7,0.931640625
vanilla,VideoPlaceButton,300,attn_L13,512,131,32-992,0.740234375,16/16,7/7,0.91015625
