model           channel    top-K    lag1    lag2    lag4    lag8  run(steps)
expd_framesamp  act          12%   0.739   0.642   0.561   0.556        3.65
expd_framesamp  act          25%   0.825   0.761   0.703   0.707        5.30
expd_framesamp  act          50%   0.875   0.832   0.796   0.793        6.71
expd_framesamp  tail15       12%   0.764   0.657   0.545   0.534        4.01
expd_framesamp  tail15       25%   0.841   0.764   0.687   0.684        5.79
expd_framesamp  tail15       50%   0.913   0.874   0.839   0.848        8.84
expd_framesamp  tail13       12%   0.752   0.656   0.555   0.563        3.73
expd_framesamp  tail13       25%   0.820   0.759   0.691   0.695        5.09
expd_framesamp  tail13       50%   0.891   0.854   0.820   0.826        7.65
expd_framesamp  nov          12%   0.471   0.328   0.290   0.313        1.84
expd_framesamp  nov          25%   0.614   0.527   0.468   0.482        2.51
expd_framesamp  nov          50%   0.895   0.878   0.858   0.852        8.56
HAMLET          act          12%   0.771   0.689   0.636   0.650        4.27
HAMLET          act          25%   0.805   0.733   0.675   0.690        4.67
HAMLET          act          50%   0.815   0.763   0.724   0.730        4.83
HAMLET          tail15       12%   0.732   0.626   0.528   0.539        3.53
HAMLET          tail15       25%   0.821   0.743   0.668   0.672        5.09
HAMLET          tail15       50%   0.887   0.837   0.787   0.794        7.34
HAMLET          tail13       12%   0.747   0.664   0.596   0.615        3.76
HAMLET          tail13       25%   0.804   0.735   0.675   0.687        4.73
HAMLET          tail13       50%   0.872   0.829   0.792   0.795        6.65
HAMLET          nov          12%   0.471   0.328   0.290   0.313        1.84
HAMLET          nov          25%   0.614   0.527   0.468   0.482        2.51
HAMLET          nov          50%   0.895   0.878   0.858   0.852        8.56
